event_id,president,description,source,tong,du,date,exclude
1,Lee,Proposes the establishment of the non-partisan National Unification Council,LinXJ_97,4,0,19900801,
2,Lee,Six Point Reply,sifa,4,1,19950408,
3,Lee,"""1992 Consensus""",sifa,4,1,19920801,
4,Lee,Establishment of the Mainland Affairs Council,sifa,3,0,19910118,
5,Lee,"Interview with German Radio, during which he proposed the Two-State Theory",sifa,0,3,19990709,
6,Lee,Commencement address at Cornell University,sifa,1,3,19950609,
7,Lee,Act Governing Relations between the People of the Taiwan Area and the Mainland Area,sifa,1,1,19920731,1
8,Lee,National Day celebration,LinXJ_97,2,3,19991010,
9,Lee,Jie ji Yong ren: policy on high-tech and infrastructure development in TW,LinXJ_97,0,2,19960914,
10,Lee,"Interview with VOA chinese, doesn't think that ROC and the PRC are ready for the three linkages",LinXJ_97,0,0,19911228,
12,Lee,"Tea with Asia Outlook delegates, remain cautious about the three linkages",LinXJ_97,0,2,19971020,
13,Lee,Suggests to shelf the three linkages proposal altogether,LinXJ_97,1,2,20000316,
14,Lee,introduces the idea of pragmatic diplomacy,LinXJ_97,2,1,19880520,
15,Lee,report on the results of pragmatic diplomacy,LinXJ_97,0,2,19960711,
16,Lee,Look South policy,LinXJ_97,0,1,19931208,
17,Chen,Meets Japanese delegates and expresses three principles of engagement with the PRC,LinXJ_97,1,2,20000520,
18,Chen,Three Consensus and Four Suggestions,LinXJ_97,1,1,20001206,
19,Chen,4 Nos and One Without,LinXJ_97,0,0,20000520,1
20,Chen,4 Wants and One Without,LinXJ_97,0,3,20070304,
21,Chen,New Year's address,LinXJ_97,2,0,20030101,
22,Chen,abolished the National Unification Council,LinXJ_97,0,2,20060227,
23,Chen,Yi Bian Yi Guo,LinXJ_97,0,2,20020803,1
24,Chen,National Journalists' Club address,LinXJ_97,0,2,20070529,
25,Chen,"Jiji Kaifang, Youxiao Guanli",LinXJ_97,1,1,20010826,
26,Chen,Millenium Address,LinXJ_97,1,2,20001231,
27,Chen,Policy package to complement JGYK,LinXJ_97,2,2,20060322,
28,Chen,address on the CCP's anti-secession law,LinXJ_97,0,1,20051215,
29,Chen,New Year's address,LinXJ_97,0,1,20060101,
30,Chen,Rendition of Pragmatic Diplomacy,LinXJ_97,0,1,20010606,
11,Chen,Reboot of the Nanxiang Policy,LinXJ_97,0,2,20020729,
32,Lee,Pledged to end the Temporary Provisions against the Communist Rebellion (in response to student protests),sifa,0,1,19900522,
33,Lee,Ended the Temporary Provisions against the Communist Rebellion (after it was passed in the LY,sifa,0,1,19910501,
34,Lee,First Koo-Wang summit,sifa,2,0,19930429,1
35,Lee,"Issues ""Manual for Cross Srait Exchanges"" Taihai Liangan Guanxi Shuomingshu",sifa,4,2,19940701,1
36,Lee,ROC and PRC negotiate logistics of shipping between ROC and HK (soon to be under PRC takeover from UK),sifa,1,0,19970524,1
37,Lee,Second Koo-Wang summit,sifa,1,0,19980530,1
38,Lee,New Year's address,mac,1,0,19980101,
39,Lee,Reinforces Jie ji Yong ren,mac,0,1,19980106,
40,Lee,"Lee interview for Der Spiegel, Germany",mac,2,1,19980126,
41,Lee,Interview with Sankei Shimbun's Seiron Monthly Issue,mac,1,1,19971215,
42,Lee,Completes negotiation with the US regarding TW joining the WTO,mac,0,1,19980220,1
43,Lee,Lee speeks at Youth conference and encourages people-to-people exchanges,mac,1,1,19980326,
44,Lee,"Strait exchange foundation has multiple rounds of correspondence with PRC's TAO, which lead up to the SEF putting together negotiation team to reusme negotiations",mac,1,0,19980327,1
45,Lee,MAC loosens spouse traveling restrictions and returns stolen artifact,mac,2,0,19980330,1
46,Lee,Remarks when meeting U.S. congressman; encourages cross-strait economic cooperation to deter potential effects of the financial crisis,mac,1,0,19980407,
47,Lee,chats with friends at the Office of the President,mac,1,1,19980514,
48,Lee,"interview with Times magazine, reinforces the importance of Jie ji Yong ren",mac,0,1,19980605,
49,Lee,Reacts to Clinton's Three Nos statement during his trip to the PRC in a sit-down with FMs from Central American countries,mac,0,1,19980702,
50,Lee,"Reacts to recount of the most recent Kong-Wang summit by head of AIT, Richard Bush",mac,0,2,19980706,
51,Lee,"National Unification Council conference, Lee proposes new 6 points (Liudian Zhuzhang)",mac,3,3,19980721,
52,Lee,Lee dispatches special envoy to attend the birthday celebration of the King of Swaziland and was recognized for his kindness with the King's pledge of support to the ROC,mac,0,1,19980908,
53,Lee,President of Burika Faso visits Taiwan under Lee's invitation; two sides issue joint statement,mac,2,2,19981017,
54,Lee,Lee proposes Xin Taiwanren Zhuyi,mac,0,3,19981208,
55,Lee,Republic of Marshall Islands' president visits TW and signs joint statement with Lee,mac,0,1,19990210,
56,Lee,"Office of the President issues press release, stating that Lee and relevant government agencies do not agree to conduct Track II diplomacy with the CCP",mac,0,0,19990312,
